name,url,test_type,description,duration,remote_support,adaptive_support
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"A,E,P","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",,Yes,No
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,K,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30,Yes,Yes
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,K,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17,Yes,No
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,K,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5,Yes,No
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,K,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11,Yes,No
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,K,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9,Yes,No
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,K,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5,Yes,No
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,K,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9,Yes,No
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,S,Simulated data entry test that measures the ability to process payables and vendor invoices.,8,Yes,No
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,K,Multiple-choice test that measures the knowledge of processing receivables and invoices.,13,Yes,No
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,S,Simulated data entry test that measures the ability to process receivables and invoices.,8,Yes,No
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10,Yes,No
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17,Yes,No
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20,Yes,Yes
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10,Yes,No
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10,Yes,No
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7,Yes,No
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13,Yes,No
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16,Yes,No
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6,Yes,No
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7,Yes,No
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11,Yes,No
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9,Yes,No
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7,Yes,No
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9,Yes,No
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5,Yes,No
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,K,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5,Yes,No
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,K,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6,Yes,No
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,K,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6,Yes,No
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,K,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8,Yes,No
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,K,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13,Yes,No
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,K,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30,Yes,Yes
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,E,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.",,Yes,No
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,S,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",,Yes,No
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,S,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",,Yes,No
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",,Yes,No
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,,Yes,No
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,S,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,,Yes,No
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,S,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",30,Yes,No
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,S,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",,Yes,No
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,S,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,60,Yes,No
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,K,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",8,Yes,No
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,K,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",13,Yes,No
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,K,Multi choice test that measures the candidate's basic understanding of Biology.,6,Yes,No
